source_url,target_url,status_code
https://tasasmunicipales.info/castilla-la-mancha/guadalajara/azuqueca-de-henares/ibi-2026-azuqueca-de-henares/,https://tasasmunicipales.info/castilla-la-mancha/guadalajara/azuqueca-de-henares/,301
https://tasasmunicipales.info/galicia/a-coruna/ferrol/plusvalia-municipal-ferrol/,https://tasasmunicipales.info/galicia/a-coruna/ferrol/,301
https://tasasmunicipales.info/extremadura/badajoz/almendralejo/ibi-2026-almendralejo/,https://tasasmunicipales.info/extremadura/badajoz/almendralejo/,301
https://tasasmunicipales.info/aragon/teruel/teruel/plusvalia-municipal-teruel/,https://tasasmunicipales.info/aragon/teruel/teruel/,301
https://tasasmunicipales.info/galicia/ourense/o-carballino/ibi-2026-o-carballino/,https://tasasmunicipales.info/galicia/ourense/o-carballino/,301
https://tasasmunicipales.info/castilla-la-mancha/cuenca/tarancon/ibi-2026-tarancon/,https://tasasmunicipales.info/castilla-la-mancha/cuenca/tarancon/,301
https://tasasmunicipales.info/galicia/pontevedra/pontevedra/como-pagar-ibi-pontevedra/,https://tasasmunicipales.info/galicia/pontevedra/pontevedra/,301
https://tasasmunicipales.info/galicia/a-coruna/ferrol/tasa-basuras-2026-ferrol/,https://tasasmunicipales.info/galicia/a-coruna/ferrol/,301
https://tasasmunicipales.info/extremadura/badajoz/don-benito/ibi-2026-don-benito/,https://tasasmunicipales.info/extremadura/badajoz/don-benito/,301
https://tasasmunicipales.info/galicia/a-coruna/ferrol/reclamar-tasa-basura-ferrol/,https://tasasmunicipales.info/galicia/a-coruna/ferrol/,301
https://tasasmunicipales.info/extremadura/caceres/navalmoral-de-la-mata/ibi-2026-navalmoral-de-la-mata/,https://tasasmunicipales.info/extremadura/caceres/navalmoral-de-la-mata/,301
https://tasasmunicipales.info/galicia/pontevedra/pontevedra/ibi-2026-pontevedra/,https://tasasmunicipales.info/galicia/pontevedra/pontevedra/,301
https://tasasmunicipales.info/castilla-la-mancha/ciudad-real/alcazar-de-san-juan/tasa-basuras-2026-alcazar-de-san-juan/,https://tasasmunicipales.info/castilla-la-mancha/ciudad-real/alcazar-de-san-juan/,301
https://tasasmunicipales.info/castilla-la-mancha/cuenca/cuenca/plusvalia-municipal-cuenca/,https://tasasmunicipales.info/castilla-la-mancha/cuenca/cuenca/,301
https://tasasmunicipales.info/extremadura/badajoz/don-benito/tasa-basuras-2026-don-benito/,https://tasasmunicipales.info/extremadura/badajoz/don-benito/,301
https://tasasmunicipales.info/extremadura/caceres/navalmoral-de-la-mata/como-pagar-ibi-navalmoral-de-la-mata/,https://tasasmunicipales.info/extremadura/caceres/navalmoral-de-la-mata/,301
https://tasasmunicipales.info/extremadura/caceres/plasencia/bonificaciones-ibi-plasencia/,https://tasasmunicipales.info/extremadura/caceres/plasencia/,301
https://tasasmunicipales.info/castilla-la-mancha/ciudad-real/tomelloso/reclamar-tasa-basura-tomelloso/,https://tasasmunicipales.info/castilla-la-mancha/ciudad-real/tomelloso/,301
https://tasasmunicipales.info/castilla-la-mancha/albacete/hellin/plusvalia-municipal-hellin/,https://tasasmunicipales.info/castilla-la-mancha/albacete/hellin/,301
https://tasasmunicipales.info/extremadura/badajoz/zafra/ibi-2026-zafra/,https://tasasmunicipales.info/extremadura/badajoz/zafra/,301
https://tasasmunicipales.info/extremadura/badajoz/villanueva-de-la-serena/plusvalia-municipal-villanueva-de-la-serena/,https://tasasmunicipales.info/extremadura/badajoz/villanueva-de-la-serena/,301
https://tasasmunicipales.info/extremadura/badajoz/montijo/ibi-2026-montijo/,https://tasasmunicipales.info/extremadura/badajoz/montijo/,301
https://tasasmunicipales.info/aragon/huesca/barbastro/bonificaciones-ibi-barbastro/,https://tasasmunicipales.info/aragon/huesca/barbastro/,301
https://tasasmunicipales.info/asturias/asturias/castrillon/plusvalia-municipal-castrillon/,https://tasasmunicipales.info/asturias/asturias/castrillon/,301
https://tasasmunicipales.info/murcia/murcia/cieza/bonificaciones-ibi-cieza/,https://tasasmunicipales.info/murcia/murcia/cieza/,301
https://tasasmunicipales.info/castilla-la-mancha/ciudad-real/villarrobledo/,https://tasasmunicipales.info/castilla-la-mancha/albacete/villarrobledo/,301
https://tasasmunicipales.info/galicia/ourense/lalin/,https://tasasmunicipales.info/galicia/pontevedra/lalin/,301
https://tasasmunicipales.info/provincias/,https://tasasmunicipales.info/comunidades/,301
